"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1","1","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C2","1","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C3,C4","2","C","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA",""
"D1,D2","2","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_0805_2012Metric",""
"D3","1","SS34","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"J1","1","USB_C_Receptacle_PowerOnly_6P","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3,J4,J5","4","Conn_01x01_Socket","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWirePad_1x01_SMD_1.5x3mm",""
"L1","1","22uH","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_7.3x7.3_H4.5",""
"Q1","1","FS8205A","","","","","${EXCLUDE_FROM_POS_FILES}","FS8205A:SOP65P640X120-8N",""
"Q2","1","DW01A","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6",""
"R1","1","1.2k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R2,R3,R4","3","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R5","1","100","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R6,R7","2","5.1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R8","1","2.2k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R9","1","42k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R10","1","16k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","SW_Nidec_CAS-120A1","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_SMD:Nidec_Copal_CAS-120A","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1","1","TP4056-42-ESOP8","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","MT3608","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf"
